synthetic,work,acdc,gear,pl1_w,freq_ghz,cpu_util,gpu_util,perf_score,power_w,temp_c,fluency_violation,policy_ver,fence_ver,envelope_ver
1,W5,AC,Balance,40,4.8,69.6,23.3,77.7,44.4,59.6,0,stub-1,1.0,1.0
1,W6,AC,Balance,40,4.8,49.0,86.5,73.0,39.5,57.8,0,stub-1,1.0,1.0
1,W7,AC,Balance,40,4.8,5.3,74.4,60.3,28.3,54.0,0,stub-1,1.0,1.0
1,W0,DC,Balance,40,4.8,71.7,54.7,78.7,46.1,63.9,0,stub-1,1.0,1.0
1,W1,DC,Balance,40,4.8,86.4,54.1,86.3,50.9,61.1,0,stub-1,1.0,1.0
1,W2,DC,Balance,40,4.8,18.3,16.5,60.8,36.6,58.7,0,stub-1,1.0,1.0
1,W3,DC,Balance,40,4.8,23.9,27.5,59.1,36.8,59.4,0,stub-1,1.0,1.0
1,W4,DC,Balance,40,4.8,84.6,41.6,81.7,48.3,64.6,0,stub-1,1.0,1.0
1,W5,DC,Balance,40,4.8,78.0,84.3,78.4,50.7,63.1,0,stub-1,1.0,1.0
1,W6,DC,Balance,40,4.8,34.9,88.8,70.0,32.9,57.0,0,stub-1,1.0,1.0
1,W7,DC,Balance,40,4.8,75.9,14.7,78.2,49.7,60.3,0,stub-1,1.0,1.0
1,W0,AC,Beast,65,5.0,25.0,78.5,65.0,52.2,63.6,0,stub-1,1.0,1.0
1,W1,AC,Beast,65,5.0,7.1,22.4,60.1,45.4,63.5,0,stub-1,1.0,1.0
1,W2,AC,Beast,65,5.0,92.0,30.1,85.7,66.9,70.3,0,stub-1,1.0,1.0
1,W3,AC,Beast,65,5.0,15.4,92.3,64.2,51.6,66.5,0,stub-1,1.0,1.0
1,W4,AC,Beast,65,5.0,28.9,14.8,64.2,54.0,63.1,0,stub-1,1.0,1.0
1,W5,AC,Beast,65,5.0,39.7,56.9,75.7,55.3,66.7,0,stub-1,1.0,1.0
1,W6,AC,Beast,65,5.0,5.2,88.3,56.9,46.0,61.0,0,stub-1,1.0,1.0
1,W7,AC,Beast,65,5.0,37.8,11.3,66.9,54.0,62.8,0,stub-1,1.0,1.0
1,W0,AC,Beast,65,5.0,33.3,81.3,69.5,52.2,62.7,0,stub-1,1.0,1.0
1,W1,AC,Beast,65,5.0,41.2,31.6,75.2,57.3,66.2,0,stub-1,1.0,1.0
1,W2,AC,Beast,65,5.0,89.6,66.0,90.3,66.3,67.6,1,stub-1,1.0,1.0
1,W3,AC,Beast,65,5.0,30.8,43.7,72.8,50.6,61.7,0,stub-1,1.0,1.0
1,W4,AC,Beast,65,5.0,46.8,44.8,74.8,59.4,68.0,0,stub-1,1.0,1.0
1,W5,AC,Beast,65,5.0,12.6,51.4,60.7,47.4,60.6,0,stub-1,1.0,1.0
1,W6,AC,Beast,65,5.0,78.7,72.6,82.6,63.9,67.5,0,stub-1,1.0,1.0
1,W7,AC,Beast,65,5.0,27.0,47.8,68.7,52.7,63.0,0,stub-1,1.0,1.0
1,W0,AC,Beast,65,5.0,42.3,61.7,74.3,59.0,64.5,0,stub-1,1.0,1.0
1,W1,AC,Beast,65,5.0,64.0,5.5,79.3,61.5,64.0,0,stub-1,1.0,1.0
1,W2,AC,Beast,65,5.0,14.6,43.3,67.8,53.6,63.3,0,stub-1,1.0,1.0
1,W3,AC,Beast,65,5.0,81.4,46.1,84.3,66.8,66.3,0,stub-1,1.0,1.0
1,W4,AC,Beast,65,5.0,93.9,58.6,94.2,67.7,66.9,0,stub-1,1.0,1.0
1,W5,AC,Beast,65,5.0,79.8,54.3,80.8,68.1,67.3,0,stub-1,1.0,1.0
1,W6,AC,Beast,65,5.0,47.7,28.3,74.4,60.3,66.3,0,stub-1,1.0,1.0
1,W7,AC,Beast,65,5.0,61.4,29.7,74.8,62.3,67.4,0,stub-1,1.0,1.0
1,W0,DC,Beast,65,5.0,29.5,33.8,67.3,52.6,63.7,0,stub-1,1.0,1.0
1,W1,DC,Beast,65,5.0,68.6,10.8,85.2,60.6,67.2,0,stub-1,1.0,1.0
1,W2,DC,Beast,65,5.0,42.4,23.6,67.0,58.2,63.4,0,stub-1,1.0,1.0
1,W3,DC,Beast,65,5.0,73.9,39.2,79.8,65.8,68.1,0,stub-1,1.0,1.0
1,W4,DC,Beast,65,5.0,72.8,81.8,84.8,63.1,67.1,0,stub-1,1.0,1.0
1,W5,DC,Beast,65,5.0,24.8,24.7,63.7,51.3,63.1,0,stub-1,1.0,1.0
1,W6,DC,Beast,65,5.0,35.3,66.1,69.1,55.0,63.5,0,stub-1,1.0,1.0
1,W7,DC,Beast,65,5.0,61.0,7.4,78.6,58.7,66.7,0,stub-1,1.0,1.0
1,W0,AC,Extreme,65,5.2,7.4,62.8,66.8,49.0,63.6,0,stub-1,1.0,1.0
1,W1,AC,Extreme,65,5.2,24.0,34.4,70.5,51.7,61.6,0,stub-1,1.0,1.0
1,W2,AC,Extreme,65,5.2,72.7,79.9,84.2,64.5,69.4,0,stub-1,1.0,1.0
1,W3,AC,Extreme,65,5.2,36.5,63.5,73.8,55.2,62.2,0,stub-1,1.0,1.0
1,W4,AC,Extreme,65,5.2,72.9,90.5,84.5,64.1,67.9,0,stub-1,1.0,1.0
1,W5,AC,Extreme,65,5.2,55.8,24.6,80.4,58.4,63.0,0,stub-1,1.0,1.0
1,W6,AC,Extreme,65,5.2,20.1,59.7,68.4,49.5,64.0,0,stub-1,1.0,1.0
1,W7,AC,Extreme,65,5.2,14.7,7.3,59.8,48.0,63.9,0,stub-1,1.0,1.0
1,W0,AC,Extreme,65,5.2,91.2,40.7,89.5,67.5,67.9,0,stub-1,1.0,1.0
1,W1,AC,Extreme,65,5.2,14.2,74.5,62.7,50.6,61.1,0,stub-1,1.0,1.0
1,W2,AC,Extreme,65,5.2,15.9,93.5,67.7,47.7,60.4,0,stub-1,1.0,1.0
1,W3,AC,Extreme,65,5.2,35.7,81.5,74.4,54.8,63.6,0,stub-1,1.0,1.0
1,W4,AC,Extreme,65,5.2,91.5,62.2,92.1,65.6,65.7,0,stub-1,1.0,1.0
1,W5,AC,Extreme,65,5.2,29.3,77.7,73.1,50.6,62.3,0,stub-1,1.0,1.0
1,W6,AC,Extreme,65,5.2,44.2,70.8,75.0,60.4,66.5,0,stub-1,1.0,1.0
1,W7,AC,Extreme,65,5.2,84.3,26.9,86.6,63.9,67.8,0,stub-1,1.0,1.0
1,W0,AC,Extreme,65,5.2,39.1,7.6,75.3,54.3,64.6,0,stub-1,1.0,1.0
1,W1,AC,Extreme,65,5.2,35.6,84.2,78.3,53.9,62.7,0,stub-1,1.0,1.0
1,W2,AC,Extreme,65,5.2,5.9,90.3,68.3,48.6,59.5,0,stub-1,1.0,1.0
1,W3,AC,Extreme,65,5.2,63.1,49.2,81.7,61.5,65.9,0,stub-1,1.0,1.0
1,W4,AC,Extreme,65,5.2,24.9,67.3,68.5,54.2,62.2,0,stub-1,1.0,1.0
1,W5,AC,Extreme,65,5.2,72.1,34.8,84.7,63.1,65.9,0,stub-1,1.0,1.0
1,W6,AC,Extreme,65,5.2,27.6,15.9,71.2,53.4,61.2,0,stub-1,1.0,1.0
1,W7,AC,Extreme,65,5.2,21.7,24.5,67.8,47.7,61.9,0,stub-1,1.0,1.0
1,W0,DC,Extreme,65,5.2,92.9,52.2,90.0,69.6,69.7,0,stub-1,1.0,1.0
1,W1,DC,Extreme,65,5.2,21.1,6.3,70.8,49.2,62.0,0,stub-1,1.0,1.0
1,W2,DC,Extreme,65,5.2,92.7,54.8,89.7,67.7,69.9,0,stub-1,1.0,1.0
1,W3,DC,Extreme,65,5.2,56.7,47.2,76.8,58.5,65.8,0,stub-1,1.0,1.0
1,W4,DC,Extreme,65,5.2,9.6,89.7,59.8,48.4,61.5,0,stub-1,1.0,1.0
1,W5,DC,Extreme,65,5.2,9.8,18.4,66.0,46.4,60.7,0,stub-1,1.0,1.0
1,W6,DC,Extreme,65,5.2,94.5,15.7,91.1,66.4,68.5,0,stub-1,1.0,1.0
1,W7,DC,Extreme,65,5.2,52.0,45.5,75.9,54.8,65.2,0,stub-1,1.0,1.0
1,W0,AC,Quiet,25,3.8,94.1,32.5,70.8,39.1,58.5,0,stub-1,1.0,1.0
1,W1,AC,Quiet,25,3.8,23.7,24.0,45.4,22.8,52.2,0,stub-1,1.0,1.0
1,W2,AC,Quiet,25,3.8,20.6,11.8,55.1,22.7,51.9,0,stub-1,1.0,1.0
1,W3,AC,Quiet,25,3.8,68.6,68.3,64.8,31.7,56.8,0,stub-1,1.0,1.0
1,W4,AC,Quiet,25,3.8,88.2,75.9,68.9,37.5,59.6,0,stub-1,1.0,1.0
1,W5,AC,Quiet,25,3.8,63.3,86.8,63.3,33.7,56.3,0,stub-1,1.0,1.0
1,W6,AC,Quiet,25,3.8,19.9,32.7,51.6,19.9,51.8,0,stub-1,1.0,1.0
1,W7,AC,Quiet,25,3.8,67.0,68.0,67.2,36.5,57.1,0,stub-1,1.0,1.0
1,W0,AC,Quiet,25,3.8,49.4,12.2,63.5,30.4,55.1,0,stub-1,1.0,1.0
1,W1,AC,Quiet,25,3.8,13.2,91.6,51.6,22.2,51.1,0,stub-1,1.0,1.0
1,W2,AC,Quiet,25,3.8,90.6,95.0,71.7,38.7,61.0,0,stub-1,1.0,1.0
1,W3,AC,Quiet,25,3.8,63.6,87.4,66.0,34.5,58.9,0,stub-1,1.0,1.0
1,W4,AC,Quiet,25,3.8,62.1,49.3,66.6,34.0,55.8,0,stub-1,1.0,1.0
1,W5,AC,Quiet,25,3.8,34.7,67.4,59.9,25.0,57.3,0,stub-1,1.0,1.0
1,W6,AC,Quiet,25,3.8,78.2,54.5,66.6,37.5,56.4,0,stub-1,1.0,1.0
1,W7,AC,Quiet,25,3.8,41.4,51.3,65.1,30.8,55.6,0,stub-1,1.0,1.0
1,W0,AC,Quiet,25,3.8,53.8,42.2,62.8,32.7,56.5,0,stub-1,1.0,1.0
1,W1,AC,Quiet,25,3.8,73.4,23.3,63.4,31.5,55.0,0,stub-1,1.0,1.0
1,W2,AC,Quiet,25,3.8,44.4,67.8,64.8,32.3,55.5,0,stub-1,1.0,1.0
1,W3,AC,Quiet,25,3.8,54.6,54.7,60.6,36.3,60.3,0,stub-1,1.0,1.0
1,W4,AC,Quiet,25,3.8,87.2,46.5,75.9,41.8,57.3,0,stub-1,1.0,1.0
1,W5,AC,Quiet,25,3.8,29.6,80.1,54.5,26.4,54.1,0,stub-1,1.0,1.0
1,W6,AC,Quiet,25,3.8,54.6,39.5,65.1,30.0,57.7,0,stub-1,1.0,1.0
1,W7,AC,Quiet,25,3.8,29.9,76.1,50.4,20.9,54.1,0,stub-1,1.0,1.0
1,W0,DC,Quiet,25,3.8,50.7,78.8,60.3,31.8,51.4,0,stub-1,1.0,1.0
1,W1,DC,Quiet,25,3.8,49.1,18.4,54.6,28.0,54.5,0,stub-1,1.0,1.0
1,W2,DC,Quiet,25,3.8,54.7,53.9,59.5,31.7,57.0,0,stub-1,1.0,1.0
1,W3,DC,Quiet,25,3.8,26.0,74.8,57.7,27.2,55.2,0,stub-1,1.0,1.0
1,W4,DC,Quiet,25,3.8,68.5,78.0,62.8,36.6,59.6,0,stub-1,1.0,1.0
1,W5,DC,Quiet,25,3.8,8.3,50.2,40.5,16.2,49.0,0,stub-1,1.0,1.0
1,W6,DC,Quiet,25,3.8,83.7,44.6,67.4,38.1,58.1,0,stub-1,1.0,1.0
1,W7,DC,Quiet,25,3.8,63.9,18.9,61.7,28.3,55.7,0,stub-1,1.0,1.0
1,W0,AC,Balance,40,4.8,35.5,67.3,64.8,33.7,58.6,0,stub-1,1.0,1.0
1,W1,AC,Balance,40,4.8,39.2,33.5,64.6,37.1,55.5,0,stub-1,1.0,1.0
1,W2,AC,Balance,40,4.8,83.5,8.2,86.5,50.1,67.1,0,stub-1,1.0,1.0
1,W3,AC,Balance,40,4.8,44.1,13.9,65.9,36.3,55.4,0,stub-1,1.0,1.0
1,W4,AC,Balance,40,4.8,44.9,67.5,71.8,38.9,59.0,0,stub-1,1.0,1.0
1,W5,AC,Balance,40,4.8,18.1,52.8,60.6,29.3,54.2,0,stub-1,1.0,1.0
1,W6,AC,Balance,40,4.8,20.3,12.1,66.6,31.1,56.1,0,stub-1,1.0,1.0
1,W7,AC,Balance,40,4.8,17.9,46.5,69.6,32.4,57.5,0,stub-1,1.0,1.0
1,W0,AC,Balance,40,4.8,5.8,77.4,63.0,27.7,55.6,0,stub-1,1.0,1.0
1,W1,AC,Balance,40,4.8,36.1,57.9,71.1,35.7,56.3,0,stub-1,1.0,1.0
1,W2,AC,Balance,40,4.8,27.5,81.1,66.8,36.7,56.8,0,stub-1,1.0,1.0
1,W3,AC,Balance,40,4.8,56.7,94.3,74.9,40.6,63.2,0,stub-1,1.0,1.0
1,W4,AC,Balance,40,4.8,64.2,29.7,72.7,42.8,60.0,0,stub-1,1.0,1.0
1,W5,AC,Balance,40,4.8,49.7,86.4,71.6,39.6,61.5,0,stub-1,1.0,1.0
1,W6,AC,Balance,40,4.8,59.6,36.7,72.8,40.8,58.2,0,stub-1,1.0,1.0
1,W7,AC,Balance,40,4.8,64.3,80.5,72.6,41.1,57.0,0,stub-1,1.0,1.0
1,W0,AC,Balance,40,4.8,63.2,32.8,72.9,44.7,60.6,0,stub-1,1.0,1.0
1,W1,AC,Balance,40,4.8,31.6,72.3,65.8,36.4,58.4,0,stub-1,1.0,1.0
1,W2,AC,Balance,40,4.8,53.5,92.4,67.2,40.5,59.7,0,stub-1,1.0,1.0
1,W3,AC,Balance,40,4.8,48.4,77.6,70.1,40.1,57.7,0,stub-1,1.0,1.0
1,W4,AC,Balance,40,4.8,15.4,91.7,67.2,35.9,59.1,0,stub-1,1.0,1.0
1,W5,AC,Balance,40,4.8,92.1,77.4,81.5,48.7,64.0,0,stub-1,1.0,1.0
1,W6,AC,Balance,40,4.8,6.3,53.3,55.2,30.4,54.7,0,stub-1,1.0,1.0
1,W7,AC,Balance,40,4.8,79.0,89.6,77.8,48.9,62.8,0,stub-1,1.0,1.0
1,W0,DC,Balance,40,4.8,7.3,84.6,53.6,28.1,54.9,0,stub-1,1.0,1.0
1,W1,DC,Balance,40,4.8,79.1,86.8,82.4,47.1,62.9,0,stub-1,1.0,1.0
1,W2,DC,Balance,40,4.8,17.6,90.2,61.7,34.6,59.7,0,stub-1,1.0,1.0
1,W3,DC,Balance,40,4.8,45.8,65.3,74.9,39.2,55.1,0,stub-1,1.0,1.0
1,W4,DC,Balance,40,4.8,42.7,71.8,72.2,40.4,60.5,0,stub-1,1.0,1.0
1,W5,DC,Balance,40,4.8,90.6,7.9,86.8,49.2,63.4,0,stub-1,1.0,1.0
1,W6,DC,Balance,40,4.8,90.5,82.0,88.5,52.4,59.4,0,stub-1,1.0,1.0
1,W7,DC,Balance,40,4.8,37.3,40.8,66.5,37.7,58.9,0,stub-1,1.0,1.0
1,W0,AC,Beast,65,5.0,81.3,45.9,82.2,63.4,66.9,0,stub-1,1.0,1.0
1,W1,AC,Beast,65,5.0,75.8,26.9,82.4,66.3,69.6,0,stub-1,1.0,1.0
1,W2,AC,Beast,65,5.0,11.2,73.9,63.9,49.6,63.3,0,stub-1,1.0,1.0
1,W3,AC,Beast,65,5.0,86.0,5.3,83.9,67.7,68.0,0,stub-1,1.0,1.0
1,W4,AC,Beast,65,5.0,16.7,27.6,67.0,52.3,63.6,0,stub-1,1.0,1.0
1,W5,AC,Beast,65,5.0,26.4,34.1,68.0,52.4,63.8,0,stub-1,1.0,1.0
1,W6,AC,Beast,65,5.0,71.8,52.3,81.4,61.2,66.7,0,stub-1,1.0,1.0
1,W7,AC,Beast,65,5.0,14.8,50.3,60.9,49.8,62.3,0,stub-1,1.0,1.0
1,W0,AC,Beast,65,5.0,75.5,83.0,79.4,64.1,67.9,0,stub-1,1.0,1.0
1,W1,AC,Beast,65,5.0,48.1,41.1,74.2,56.6,63.2,0,stub-1,1.0,1.0
1,W2,AC,Beast,65,5.0,86.9,11.6,89.7,68.5,70.1,0,stub-1,1.0,1.0
1,W3,AC,Beast,65,5.0,54.4,34.3,77.3,61.5,66.5,0,stub-1,1.0,1.0
1,W4,AC,Beast,65,5.0,45.8,59.5,77.5,58.8,66.9,0,stub-1,1.0,1.0
1,W5,AC,Beast,65,5.0,69.9,24.4,77.5,61.6,66.9,0,stub-1,1.0,1.0
1,W6,AC,Beast,65,5.0,35.5,45.8,69.5,54.8,62.2,0,stub-1,1.0,1.0
1,W7,AC,Beast,65,5.0,38.7,18.7,73.6,55.8,64.3,0,stub-1,1.0,1.0
1,W0,AC,Beast,65,5.0,79.9,13.4,88.0,67.3,69.3,0,stub-1,1.0,1.0
1,W1,AC,Beast,65,5.0,57.8,55.5,73.8,59.5,66.5,0,stub-1,1.0,1.0
1,W2,AC,Beast,65,5.0,36.8,64.9,71.1,50.7,62.0,0,stub-1,1.0,1.0
1,W3,AC,Beast,65,5.0,36.6,57.0,63.2,55.3,66.5,0,stub-1,1.0,1.0
1,W4,AC,Beast,65,5.0,25.2,14.7,69.2,50.2,62.7,0,stub-1,1.0,1.0
1,W5,AC,Beast,65,5.0,81.1,92.7,80.4,66.9,66.5,0,stub-1,1.0,1.0
1,W6,AC,Beast,65,5.0,62.8,7.4,83.9,59.6,65.8,0,stub-1,1.0,1.0
1,W7,AC,Beast,65,5.0,68.2,32.8,82.4,62.4,67.0,0,stub-1,1.0,1.0
1,W0,DC,Beast,65,5.0,83.3,56.0,83.6,67.0,68.2,0,stub-1,1.0,1.0
1,W1,DC,Beast,65,5.0,72.2,24.4,81.1,61.9,67.3,0,stub-1,1.0,1.0
1,W2,DC,Beast,65,5.0,38.3,69.9,72.1,52.5,63.8,0,stub-1,1.0,1.0
1,W3,DC,Beast,65,5.0,60.6,65.7,78.7,60.2,68.3,0,stub-1,1.0,1.0
1,W4,DC,Beast,65,5.0,48.7,44.8,73.9,61.0,67.5,0,stub-1,1.0,1.0
1,W5,DC,Beast,65,5.0,66.1,48.8,81.9,61.7,66.2,0,stub-1,1.0,1.0
1,W6,DC,Beast,65,5.0,40.6,58.9,74.7,55.7,64.7,0,stub-1,1.0,1.0
1,W7,DC,Beast,65,5.0,28.0,34.5,70.0,55.8,64.7,0,stub-1,1.0,1.0
1,W0,AC,Extreme,65,5.2,20.8,39.2,67.6,48.4,63.3,0,stub-1,1.0,1.0
1,W1,AC,Extreme,65,5.2,11.5,82.6,61.1,48.7,62.1,0,stub-1,1.0,1.0
1,W2,AC,Extreme,65,5.2,87.9,82.6,85.3,66.3,67.8,0,stub-1,1.0,1.0
1,W3,AC,Extreme,65,5.2,6.9,34.2,61.4,48.1,59.9,0,stub-1,1.0,1.0
1,W4,AC,Extreme,65,5.2,79.9,87.8,91.3,67.5,68.7,0,stub-1,1.0,1.0
1,W5,AC,Extreme,65,5.2,40.6,32.9,78.6,54.7,65.3,0,stub-1,1.0,1.0
1,W6,AC,Extreme,65,5.2,20.1,50.9,71.1,52.1,64.4,0,stub-1,1.0,1.0
1,W7,AC,Extreme,65,5.2,70.5,78.7,82.0,63.7,66.3,0,stub-1,1.0,1.0
1,W0,AC,Extreme,65,5.2,18.2,22.8,63.8,48.0,61.3,0,stub-1,1.0,1.0
1,W1,AC,Extreme,65,5.2,74.6,49.5,83.2,64.2,64.9,0,stub-1,1.0,1.0
1,W2,AC,Extreme,65,5.2,45.4,88.2,72.1,55.7,62.4,0,stub-1,1.0,1.0
1,W3,AC,Extreme,65,5.2,18.6,11.1,63.7,48.6,62.4,0,stub-1,1.0,1.0
1,W4,AC,Extreme,65,5.2,29.7,10.1,68.7,52.9,63.0,0,stub-1,1.0,1.0
1,W5,AC,Extreme,65,5.2,11.9,82.8,66.3,50.2,60.9,0,stub-1,1.0,1.0
1,W6,AC,Extreme,65,5.2,50.6,46.6,72.6,57.0,66.2,0,stub-1,1.0,1.0
1,W7,AC,Extreme,65,5.2,77.9,63.7,83.8,64.0,68.9,0,stub-1,1.0,1.0
1,W0,AC,Extreme,65,5.2,18.6,10.6,73.1,52.7,62.1,0,stub-1,1.0,1.0
1,W1,AC,Extreme,65,5.2,50.4,20.5,81.5,58.1,67.0,0,stub-1,1.0,1.0
1,W2,AC,Extreme,65,5.2,44.5,52.0,77.3,58.3,65.1,0,stub-1,1.0,1.0
1,W3,AC,Extreme,65,5.2,58.8,76.0,83.1,59.8,65.5,0,stub-1,1.0,1.0
1,W4,AC,Extreme,65,5.2,13.5,66.1,65.4,52.0,61.4,0,stub-1,1.0,1.0
1,W5,AC,Extreme,65,5.2,35.0,57.4,67.5,55.4,65.5,0,stub-1,1.0,1.0
1,W6,AC,Extreme,65,5.2,92.1,67.9,86.9,70.2,70.8,0,stub-1,1.0,1.0
1,W7,AC,Extreme,65,5.2,38.9,76.2,73.1,56.4,62.7,0,stub-1,1.0,1.0
1,W0,DC,Extreme,65,5.2,79.6,71.5,84.8,63.2,66.1,0,stub-1,1.0,1.0
1,W1,DC,Extreme,65,5.2,37.6,37.6,71.2,55.5,65.4,0,stub-1,1.0,1.0
1,W2,DC,Extreme,65,5.2,90.3,48.8,89.7,69.1,71.8,0,stub-1,1.0,1.0
1,W3,DC,Extreme,65,5.2,74.4,80.2,87.4,64.5,67.3,0,stub-1,1.0,1.0
1,W4,DC,Extreme,65,5.2,35.3,74.0,75.0,55.8,66.0,0,stub-1,1.0,1.0
1,W5,DC,Extreme,65,5.2,77.8,19.9,90.6,63.1,67.7,0,stub-1,1.0,1.0
1,W6,DC,Extreme,65,5.2,65.9,26.4,79.9,62.5,66.9,0,stub-1,1.0,1.0
1,W7,DC,Extreme,65,5.2,53.1,32.9,75.0,59.6,64.3,0,stub-1,1.0,1.0
1,W0,AC,Quiet,25,3.8,80.2,38.1,77.8,35.7,56.3,0,stub-1,1.0,1.0
1,W1,AC,Quiet,25,3.8,39.4,52.5,58.0,30.9,55.2,0,stub-1,1.0,1.0
