synthetic,machine,work,acdc,gear,pl1_w,freq_ghz,cpu_util,gpu_util,perf_score,power_w,temp_c,fluency_violation,policy_ver,fence_ver,envelope_ver
1,B,W0,DC,Balance,40,4.8,92.4,40.6,75.2,56.3,68.5,0,stub-1,1.0,1.0
1,B,W1,DC,Balance,40,4.8,16.4,18.6,58.0,36.7,60.3,0,stub-1,1.0,1.0
1,B,W2,DC,Balance,40,4.8,18.2,79.4,64.6,33.8,59.7,0,stub-1,1.0,1.0
1,B,W3,DC,Balance,40,4.8,6.3,92.4,60.0,29.6,57.9,0,stub-1,1.0,1.0
1,B,W4,DC,Balance,40,4.8,89.0,44.0,84.0,49.8,66.7,0,stub-1,1.0,1.0
1,B,W5,DC,Balance,40,4.8,26.6,57.8,64.9,36.2,63.2,0,stub-1,1.0,1.0
1,B,W6,DC,Balance,40,4.8,16.8,86.9,57.9,35.5,58.6,0,stub-1,1.0,1.0
1,B,W7,DC,Balance,40,4.8,42.9,87.6,63.9,38.1,62.3,0,stub-1,1.0,1.0
1,B,W0,AC,Beast,65,5.0,52.1,6.7,70.3,61.8,73.3,0,stub-1,1.0,1.0
1,B,W1,AC,Beast,65,5.0,20.5,47.6,63.4,52.7,65.6,0,stub-1,1.0,1.0
1,B,W2,AC,Beast,65,5.0,34.3,51.7,62.2,55.5,69.9,0,stub-1,1.0,1.0
1,B,W3,AC,Beast,65,5.0,29.9,74.5,68.3,53.0,67.5,0,stub-1,1.0,1.0
1,B,W4,AC,Beast,65,5.0,73.4,87.1,74.2,67.8,70.9,0,stub-1,1.0,1.0
1,B,W5,AC,Beast,65,5.0,45.7,53.0,70.2,54.9,68.7,0,stub-1,1.0,1.0
1,B,W6,AC,Beast,65,5.0,67.9,83.9,78.7,64.9,68.4,0,stub-1,1.0,1.0
1,B,W7,AC,Beast,65,5.0,80.6,17.3,77.4,70.3,74.7,0,stub-1,1.0,1.0
1,B,W0,DC,Beast,65,5.0,11.5,26.7,64.7,52.1,67.9,0,stub-1,1.0,1.0
1,B,W1,DC,Beast,65,5.0,18.9,69.5,56.5,52.1,66.5,0,stub-1,1.0,1.0
1,B,W2,DC,Beast,65,5.0,84.5,92.1,82.6,74.6,73.7,0,stub-1,1.0,1.0
1,B,W3,DC,Beast,65,5.0,79.9,19.5,81.9,66.4,73.0,0,stub-1,1.0,1.0
1,B,W4,DC,Beast,65,5.0,35.5,22.6,65.4,59.9,71.9,0,stub-1,1.0,1.0
1,B,W5,DC,Beast,65,5.0,6.6,34.8,59.8,47.8,64.5,0,stub-1,1.0,1.0
1,B,W6,DC,Beast,65,5.0,10.8,93.7,62.4,45.4,65.8,0,stub-1,1.0,1.0
1,B,W7,DC,Beast,65,5.0,8.6,75.1,61.3,49.9,67.2,0,stub-1,1.0,1.0
1,B,W0,AC,Beast,65,5.0,43.0,87.0,70.5,57.6,71.1,0,stub-1,1.0,1.0
1,B,W1,AC,Beast,65,5.0,56.4,68.0,78.7,63.0,71.3,0,stub-1,1.0,1.0
1,B,W2,AC,Beast,65,5.0,66.9,43.3,82.6,67.3,70.7,1,stub-1,1.0,1.0
1,B,W3,AC,Beast,65,5.0,82.1,11.0,76.4,70.5,72.4,0,stub-1,1.0,1.0
1,B,W4,AC,Beast,65,5.0,35.5,54.8,69.6,56.3,70.0,0,stub-1,1.0,1.0
1,B,W5,AC,Beast,65,5.0,14.9,19.5,64.3,52.9,67.8,0,stub-1,1.0,1.0
1,B,W6,AC,Beast,65,5.0,33.1,32.5,66.9,54.7,67.2,0,stub-1,1.0,1.0
1,B,W7,AC,Beast,65,5.0,36.2,6.6,67.6,57.2,69.3,0,stub-1,1.0,1.0
1,B,W0,DC,Extreme,65,5.2,71.0,54.6,80.9,68.3,73.6,0,stub-1,1.0,1.0
1,B,W1,DC,Extreme,65,5.2,78.7,43.9,81.3,64.4,71.6,0,stub-1,1.0,1.0
1,B,W2,DC,Extreme,65,5.2,40.4,50.6,67.9,53.0,66.0,0,stub-1,1.0,1.0
1,B,W3,DC,Extreme,65,5.2,62.2,41.4,82.0,63.6,71.7,0,stub-1,1.0,1.0
1,B,W4,DC,Extreme,65,5.2,16.7,11.4,64.3,50.6,67.0,0,stub-1,1.0,1.0
1,B,W5,DC,Extreme,65,5.2,83.3,65.3,84.2,69.1,74.3,0,stub-1,1.0,1.0
1,B,W6,DC,Extreme,65,5.2,31.4,46.4,70.4,57.7,68.9,0,stub-1,1.0,1.0
1,B,W7,DC,Extreme,65,5.2,92.5,54.2,93.3,72.0,78.1,0,stub-1,1.0,1.0
1,B,W0,AC,Extreme,65,5.2,32.9,37.1,71.9,56.3,67.0,0,stub-1,1.0,1.0
1,B,W1,AC,Extreme,65,5.2,23.1,50.4,66.8,55.3,68.4,0,stub-1,1.0,1.0
1,B,W2,AC,Extreme,65,5.2,13.1,41.0,64.1,51.3,66.6,0,stub-1,1.0,1.0
1,B,W3,AC,Extreme,65,5.2,52.6,72.5,76.6,59.7,67.9,0,stub-1,1.0,1.0
1,B,W4,AC,Extreme,65,5.2,84.1,40.1,79.4,74.8,76.6,0,stub-1,1.0,1.0
1,B,W5,AC,Extreme,65,5.2,8.9,80.2,66.2,52.3,66.0,0,stub-1,1.0,1.0
1,B,W6,AC,Extreme,65,5.2,71.0,78.1,82.0,68.1,70.0,0,stub-1,1.0,1.0
1,B,W7,AC,Extreme,65,5.2,77.4,79.4,81.3,64.3,69.9,0,stub-1,1.0,1.0
1,B,W0,DC,Extreme,65,5.2,66.5,67.4,78.5,65.6,72.9,0,stub-1,1.0,1.0
1,B,W1,DC,Extreme,65,5.2,14.4,80.2,65.9,48.9,65.4,0,stub-1,1.0,1.0
1,B,W2,DC,Extreme,65,5.2,61.4,66.3,76.7,63.7,72.0,0,stub-1,1.0,1.0
1,B,W3,DC,Extreme,65,5.2,53.2,64.3,69.9,64.6,72.6,0,stub-1,1.0,1.0
1,B,W4,DC,Extreme,65,5.2,27.7,11.7,67.1,58.2,70.1,0,stub-1,1.0,1.0
1,B,W5,DC,Extreme,65,5.2,49.5,39.4,78.4,57.6,69.5,0,stub-1,1.0,1.0
1,B,W6,DC,Extreme,65,5.2,74.0,60.5,79.8,66.4,72.9,0,stub-1,1.0,1.0
1,B,W7,DC,Extreme,65,5.2,71.9,32.4,81.8,66.2,72.1,0,stub-1,1.0,1.0
1,B,W0,AC,Quiet,25,3.8,10.5,29.2,44.5,18.4,54.9,0,stub-1,1.0,1.0
1,B,W1,AC,Quiet,25,3.8,51.5,46.8,55.9,30.8,59.9,0,stub-1,1.0,1.0
1,B,W2,AC,Quiet,25,3.8,85.4,22.9,74.6,39.9,64.6,0,stub-1,1.0,1.0
1,B,W3,AC,Quiet,25,3.8,92.1,45.5,69.9,42.2,64.8,0,stub-1,1.0,1.0
1,B,W4,AC,Quiet,25,3.8,90.1,24.0,67.5,41.3,59.8,0,stub-1,1.0,1.0
1,B,W5,AC,Quiet,25,3.8,78.8,50.8,64.7,41.2,61.9,0,stub-1,1.0,1.0
1,B,W6,AC,Quiet,25,3.8,25.8,85.8,50.3,25.1,59.5,0,stub-1,1.0,1.0
1,B,W7,AC,Quiet,25,3.8,45.6,32.2,56.5,31.4,61.1,0,stub-1,1.0,1.0
1,B,W0,DC,Quiet,25,3.8,33.4,80.6,58.1,27.1,58.9,0,stub-1,1.0,1.0
1,B,W1,DC,Quiet,25,3.8,88.4,69.2,67.2,42.7,63.2,0,stub-1,1.0,1.0
1,B,W2,DC,Quiet,25,3.8,38.5,40.4,58.5,28.4,57.9,0,stub-1,1.0,1.0
1,B,W3,DC,Quiet,25,3.8,9.3,14.2,48.8,21.6,55.5,0,stub-1,1.0,1.0
1,B,W4,DC,Quiet,25,3.8,89.2,27.4,68.3,43.9,64.9,0,stub-1,1.0,1.0
1,B,W5,DC,Quiet,25,3.8,84.6,78.1,70.1,37.4,59.6,0,stub-1,1.0,1.0
1,B,W6,DC,Quiet,25,3.8,89.7,54.4,68.6,41.1,63.2,0,stub-1,1.0,1.0
1,B,W7,DC,Quiet,25,3.8,72.7,63.0,60.8,37.1,62.5,0,stub-1,1.0,1.0
1,B,W0,AC,Quiet,25,3.8,88.4,16.5,65.7,41.7,62.9,0,stub-1,1.0,1.0
1,B,W1,AC,Quiet,25,3.8,92.9,28.4,74.4,41.6,62.5,0,stub-1,1.0,1.0
1,B,W2,AC,Quiet,25,3.8,55.2,40.5,60.0,33.7,61.7,0,stub-1,1.0,1.0
1,B,W3,AC,Quiet,25,3.8,24.8,86.6,56.9,27.0,58.4,0,stub-1,1.0,1.0
1,B,W4,AC,Quiet,25,3.8,17.6,22.3,50.9,23.9,58.3,0,stub-1,1.0,1.0
1,B,W5,AC,Quiet,25,3.8,56.3,84.9,60.7,33.0,59.0,0,stub-1,1.0,1.0
1,B,W6,AC,Quiet,25,3.8,42.2,52.2,53.6,30.6,60.8,0,stub-1,1.0,1.0
1,B,W7,AC,Quiet,25,3.8,92.1,16.3,70.4,39.5,62.8,0,stub-1,1.0,1.0
1,B,W0,DC,Balance,40,4.8,82.7,24.4,78.0,52.4,66.0,0,stub-1,1.0,1.0
1,B,W1,DC,Balance,40,4.8,90.9,81.4,82.6,53.3,67.4,0,stub-1,1.0,1.0
1,B,W2,DC,Balance,40,4.8,7.9,68.9,60.1,30.1,59.5,0,stub-1,1.0,1.0
1,B,W3,DC,Balance,40,4.8,88.4,79.3,79.9,55.7,65.3,0,stub-1,1.0,1.0
1,B,W4,DC,Balance,40,4.8,27.4,14.8,64.9,38.5,61.0,0,stub-1,1.0,1.0
1,B,W5,DC,Balance,40,4.8,63.3,73.8,66.4,43.4,64.7,0,stub-1,1.0,1.0
1,B,W6,DC,Balance,40,4.8,8.6,75.4,58.3,36.1,60.9,0,stub-1,1.0,1.0
1,B,W7,DC,Balance,40,4.8,16.5,27.7,57.8,31.7,58.3,0,stub-1,1.0,1.0
1,B,W0,AC,Balance,40,4.8,15.1,11.3,55.5,32.9,59.7,0,stub-1,1.0,1.0
1,B,W1,AC,Balance,40,4.8,59.1,5.9,73.1,44.1,66.0,0,stub-1,1.0,1.0
1,B,W2,AC,Balance,40,4.8,91.3,63.0,83.3,51.6,67.2,0,stub-1,1.0,1.0
1,B,W3,AC,Balance,40,4.8,68.4,32.7,76.6,49.5,66.6,0,stub-1,1.0,1.0
1,B,W4,AC,Balance,40,4.8,65.7,42.8,73.4,49.4,67.3,1,stub-1,1.0,1.0
1,B,W5,AC,Balance,40,4.8,35.4,42.9,64.1,38.1,61.4,0,stub-1,1.0,1.0
1,B,W6,AC,Balance,40,4.8,76.7,71.5,74.7,49.3,67.5,0,stub-1,1.0,1.0
1,B,W7,AC,Balance,40,4.8,78.8,25.8,76.8,50.5,69.2,0,stub-1,1.0,1.0
1,B,W0,DC,Balance,40,4.8,31.5,90.7,62.1,37.6,62.4,0,stub-1,1.0,1.0
1,B,W1,DC,Balance,40,4.8,64.9,90.4,76.4,47.5,66.8,0,stub-1,1.0,1.0
1,B,W2,DC,Balance,40,4.8,24.2,92.7,62.6,36.2,63.1,0,stub-1,1.0,1.0
1,B,W3,DC,Balance,40,4.8,84.5,70.9,80.0,56.0,68.5,0,stub-1,1.0,1.0
1,B,W4,DC,Balance,40,4.8,34.6,21.7,69.5,37.1,64.2,0,stub-1,1.0,1.0
1,B,W5,DC,Balance,40,4.8,38.6,34.9,66.9,39.5,62.9,0,stub-1,1.0,1.0
1,B,W6,DC,Balance,40,4.8,30.2,36.6,65.1,37.0,62.9,0,stub-1,1.0,1.0
1,B,W7,DC,Balance,40,4.8,37.1,78.9,65.1,40.0,61.6,0,stub-1,1.0,1.0
1,B,W0,AC,Beast,65,5.0,9.4,47.6,55.4,53.4,68.2,0,stub-1,1.0,1.0
1,B,W1,AC,Beast,65,5.0,85.7,7.7,84.2,67.0,73.9,0,stub-1,1.0,1.0
1,B,W2,AC,Beast,65,5.0,74.0,8.7,79.3,67.2,73.5,0,stub-1,1.0,1.0
1,B,W3,AC,Beast,65,5.0,85.9,35.5,80.4,69.4,77.0,0,stub-1,1.0,1.0
1,B,W4,AC,Beast,65,5.0,60.5,28.6,73.9,61.8,70.6,0,stub-1,1.0,1.0
1,B,W5,AC,Beast,65,5.0,87.5,62.1,82.3,70.9,73.7,0,stub-1,1.0,1.0
1,B,W6,AC,Beast,65,5.0,26.0,47.8,72.0,53.2,66.8,0,stub-1,1.0,1.0
1,B,W7,AC,Beast,65,5.0,43.7,49.4,71.2,60.3,69.7,0,stub-1,1.0,1.0
1,B,W0,DC,Beast,65,5.0,77.2,71.5,81.4,64.8,70.6,0,stub-1,1.0,1.0
1,B,W1,DC,Beast,65,5.0,33.8,37.6,65.3,56.7,68.3,0,stub-1,1.0,1.0
1,B,W2,DC,Beast,65,5.0,22.8,72.8,63.9,54.4,69.9,0,stub-1,1.0,1.0
1,B,W3,DC,Beast,65,5.0,93.2,84.5,84.4,73.6,74.7,0,stub-1,1.0,1.0
1,B,W4,DC,Beast,65,5.0,12.6,13.7,56.3,51.1,65.8,0,stub-1,1.0,1.0
1,B,W5,DC,Beast,65,5.0,60.8,65.7,75.2,63.5,68.3,0,stub-1,1.0,1.0
1,B,W6,DC,Beast,65,5.0,64.8,15.9,77.0,63.2,69.8,0,stub-1,1.0,1.0
1,B,W7,DC,Beast,65,5.0,71.4,22.9,76.3,66.4,73.4,0,stub-1,1.0,1.0
1,B,W0,AC,Beast,65,5.0,18.8,84.6,60.4,51.8,63.4,0,stub-1,1.0,1.0
1,B,W1,AC,Beast,65,5.0,50.7,25.8,77.4,62.0,68.7,0,stub-1,1.0,1.0
1,B,W2,AC,Beast,65,5.0,94.2,14.2,78.4,72.8,76.3,1,stub-1,1.0,1.0
1,B,W3,AC,Beast,65,5.0,31.4,15.7,60.7,57.9,73.0,0,stub-1,1.0,1.0
1,B,W4,AC,Beast,65,5.0,57.5,88.7,69.4,65.6,70.9,0,stub-1,1.0,1.0
1,B,W5,AC,Beast,65,5.0,90.1,14.5,83.5,68.9,71.9,0,stub-1,1.0,1.0
1,B,W6,AC,Beast,65,5.0,24.6,38.2,65.7,55.2,68.3,0,stub-1,1.0,1.0
1,B,W7,AC,Beast,65,5.0,63.6,23.3,79.4,66.1,72.2,0,stub-1,1.0,1.0
1,B,W0,DC,Extreme,65,5.2,66.0,21.7,77.5,66.2,72.7,0,stub-1,1.0,1.0
1,B,W1,DC,Extreme,65,5.2,10.7,14.1,59.2,48.6,67.2,0,stub-1,1.0,1.0
1,B,W2,DC,Extreme,65,5.2,62.5,13.2,79.7,66.7,71.3,0,stub-1,1.0,1.0
1,B,W3,DC,Extreme,65,5.2,90.8,33.1,86.5,69.7,72.8,0,stub-1,1.0,1.0
1,B,W4,DC,Extreme,65,5.2,42.5,82.8,74.5,58.8,70.4,0,stub-1,1.0,1.0
1,B,W5,DC,Extreme,65,5.2,5.5,86.1,65.9,45.9,66.4,0,stub-1,1.0,1.0
1,B,W6,DC,Extreme,65,5.2,41.6,84.5,69.7,58.9,71.5,0,stub-1,1.0,1.0
1,B,W7,DC,Extreme,65,5.2,62.7,86.9,77.7,66.4,73.4,0,stub-1,1.0,1.0
1,B,W0,AC,Extreme,65,5.2,38.4,50.4,72.0,59.0,66.3,0,stub-1,1.0,1.0
1,B,W1,AC,Extreme,65,5.2,14.8,49.1,63.0,53.4,64.0,0,stub-1,1.0,1.0
1,B,W2,AC,Extreme,65,5.2,22.8,16.4,73.8,51.8,66.6,0,stub-1,1.0,1.0
1,B,W3,AC,Extreme,65,5.2,39.9,86.4,71.1,55.4,66.5,0,stub-1,1.0,1.0
1,B,W4,AC,Extreme,65,5.2,19.4,75.7,65.8,54.8,69.8,0,stub-1,1.0,1.0
1,B,W5,AC,Extreme,65,5.2,24.6,41.0,62.1,52.2,67.1,0,stub-1,1.0,1.0
1,B,W6,AC,Extreme,65,5.2,16.1,27.2,63.3,47.7,67.6,0,stub-1,1.0,1.0
1,B,W7,AC,Extreme,65,5.2,73.2,8.4,81.3,67.3,71.9,0,stub-1,1.0,1.0
1,B,W0,DC,Extreme,65,5.2,59.0,54.5,74.5,61.9,68.9,0,stub-1,1.0,1.0
1,B,W1,DC,Extreme,65,5.2,43.3,64.3,73.8,57.0,69.5,0,stub-1,1.0,1.0
1,B,W2,DC,Extreme,65,5.2,7.1,60.7,59.6,49.7,66.6,0,stub-1,1.0,1.0
1,B,W3,DC,Extreme,65,5.2,21.2,47.6,60.5,54.1,68.4,0,stub-1,1.0,1.0
1,B,W4,DC,Extreme,65,5.2,43.8,13.3,68.7,60.0,72.1,1,stub-1,1.0,1.0
1,B,W5,DC,Extreme,65,5.2,71.0,75.0,80.8,65.6,71.9,0,stub-1,1.0,1.0
1,B,W6,DC,Extreme,65,5.2,50.4,39.0,75.4,60.5,73.3,0,stub-1,1.0,1.0
1,B,W7,DC,Extreme,65,5.2,70.9,78.3,71.8,68.2,76.8,0,stub-1,1.0,1.0
1,B,W0,AC,Quiet,25,3.8,49.3,91.1,59.1,30.6,60.5,0,stub-1,1.0,1.0
1,B,W1,AC,Quiet,25,3.8,10.9,36.6,40.0,21.3,55.6,0,stub-1,1.0,1.0
1,B,W2,AC,Quiet,25,3.8,85.7,29.7,68.4,39.6,59.5,0,stub-1,1.0,1.0
1,B,W3,AC,Quiet,25,3.8,28.7,50.5,51.6,25.6,58.3,0,stub-1,1.0,1.0
1,B,W4,AC,Quiet,25,3.8,21.4,19.5,53.9,22.8,57.7,0,stub-1,1.0,1.0
1,B,W5,AC,Quiet,25,3.8,15.4,52.8,46.9,21.1,55.3,0,stub-1,1.0,1.0
1,B,W6,AC,Quiet,25,3.8,83.6,55.0,61.7,38.1,66.1,0,stub-1,1.0,1.0
1,B,W7,AC,Quiet,25,3.8,61.7,40.5,66.7,34.9,60.1,0,stub-1,1.0,1.0
1,B,W0,DC,Quiet,25,3.8,94.1,57.0,66.8,45.5,64.0,0,stub-1,1.0,1.0
1,B,W1,DC,Quiet,25,3.8,71.9,9.3,64.5,37.7,61.2,0,stub-1,1.0,1.0
1,B,W2,DC,Quiet,25,3.8,62.5,93.6,57.4,33.1,60.6,1,stub-1,1.0,1.0
1,B,W3,DC,Quiet,25,3.8,18.4,60.4,49.0,21.0,57.1,0,stub-1,1.0,1.0
1,B,W4,DC,Quiet,25,3.8,85.6,16.9,68.3,43.5,64.3,0,stub-1,1.0,1.0
1,B,W5,DC,Quiet,25,3.8,14.6,37.1,47.8,22.6,58.9,0,stub-1,1.0,1.0
1,B,W6,DC,Quiet,25,3.8,58.0,23.4,57.5,31.9,62.5,0,stub-1,1.0,1.0
1,B,W7,DC,Quiet,25,3.8,26.9,18.4,56.5,27.7,59.9,0,stub-1,1.0,1.0
1,B,W0,AC,Quiet,25,3.8,83.4,75.4,65.1,41.0,65.5,0,stub-1,1.0,1.0
1,B,W1,AC,Quiet,25,3.8,55.6,36.5,59.6,31.5,58.7,0,stub-1,1.0,1.0
1,B,W2,AC,Quiet,25,3.8,89.3,71.0,68.8,45.9,66.9,0,stub-1,1.0,1.0
1,B,W3,AC,Quiet,25,3.8,26.4,10.3,52.1,25.3,57.6,0,stub-1,1.0,1.0
1,B,W4,AC,Quiet,25,3.8,54.6,89.7,60.2,33.6,59.4,0,stub-1,1.0,1.0
1,B,W5,AC,Quiet,25,3.8,78.2,20.7,63.4,38.1,63.5,0,stub-1,1.0,1.0
1,B,W6,AC,Quiet,25,3.8,9.4,85.0,47.3,17.7,58.1,0,stub-1,1.0,1.0
1,B,W7,AC,Quiet,25,3.8,72.1,46.9,64.1,37.0,60.3,0,stub-1,1.0,1.0
1,B,W0,DC,Balance,40,4.8,25.3,14.5,62.4,36.5,60.5,0,stub-1,1.0,1.0
1,B,W1,DC,Balance,40,4.8,67.6,81.1,78.4,46.6,64.2,0,stub-1,1.0,1.0
1,B,W2,DC,Balance,40,4.8,54.8,44.2,71.4,41.3,63.2,0,stub-1,1.0,1.0
1,B,W3,DC,Balance,40,4.8,24.5,84.2,66.3,37.3,62.2,0,stub-1,1.0,1.0
1,B,W4,DC,Balance,40,4.8,26.2,71.9,67.2,35.1,59.8,0,stub-1,1.0,1.0
1,B,W5,DC,Balance,40,4.8,26.5,86.7,68.1,34.2,59.3,0,stub-1,1.0,1.0
1,B,W6,DC,Balance,40,4.8,64.9,93.1,67.7,47.0,64.5,0,stub-1,1.0,1.0
1,B,W7,DC,Balance,40,4.8,44.3,70.2,62.0,39.4,62.2,0,stub-1,1.0,1.0
1,B,W0,AC,Balance,40,4.8,24.1,61.0,67.8,37.7,62.4,0,stub-1,1.0,1.0
1,B,W1,AC,Balance,40,4.8,14.6,88.6,59.8,32.6,61.1,0,stub-1,1.0,1.0
1,B,W2,AC,Balance,40,4.8,7.6,8.7,55.8,28.7,58.3,1,stub-1,1.0,1.0
1,B,W3,AC,Balance,40,4.8,58.1,37.7,66.8,46.0,62.6,0,stub-1,1.0,1.0
1,B,W4,AC,Balance,40,4.8,85.2,10.9,83.5,48.3,66.6,0,stub-1,1.0,1.0
1,B,W5,AC,Balance,40,4.8,15.1,8.1,58.9,35.4,59.2,0,stub-1,1.0,1.0
1,B,W6,AC,Balance,40,4.8,62.1,79.3,70.9,44.3,65.1,0,stub-1,1.0,1.0
1,B,W7,AC,Balance,40,4.8,73.2,23.4,76.5,47.5,67.1,0,stub-1,1.0,1.0
1,B,W0,DC,Balance,40,4.8,6.9,28.1,56.2,34.3,60.1,0,stub-1,1.0,1.0
1,B,W1,DC,Balance,40,4.8,91.8,50.3,82.8,54.9,66.5,0,stub-1,1.0,1.0
1,B,W2,DC,Balance,40,4.8,7.8,42.2,52.6,32.8,59.1,0,stub-1,1.0,1.0
1,B,W3,DC,Balance,40,4.8,24.5,82.6,65.9,38.9,64.1,0,stub-1,1.0,1.0
1,B,W4,DC,Balance,40,4.8,20.3,5.1,62.4,37.9,62.4,0,stub-1,1.0,1.0
1,B,W5,DC,Balance,40,4.8,49.2,76.7,68.9,43.1,65.7,0,stub-1,1.0,1.0
1,B,W6,DC,Balance,40,4.8,36.2,79.9,64.9,43.6,64.0,0,stub-1,1.0,1.0
1,B,W7,DC,Balance,40,4.8,68.0,49.8,76.3,49.3,67.6,0,stub-1,1.0,1.0
1,B,W0,AC,Beast,65,5.0,12.3,75.9,59.2,47.6,64.7,0,stub-1,1.0,1.0
1,B,W1,AC,Beast,65,5.0,41.1,40.5,67.0,59.1,69.3,0,stub-1,1.0,1.0
1,B,W2,AC,Beast,65,5.0,85.0,7.3,81.9,71.4,75.4,0,stub-1,1.0,1.0
1,B,W3,AC,Beast,65,5.0,84.6,26.0,79.1,67.4,73.0,0,stub-1,1.0,1.0
1,B,W4,AC,Beast,65,5.0,72.9,72.8,76.2,65.3,71.4,0,stub-1,1.0,1.0
1,B,W5,AC,Beast,65,5.0,64.6,71.8,77.1,65.6,73.4,0,stub-1,1.0,1.0
1,B,W6,AC,Beast,65,5.0,74.6,57.1,80.7,68.8,73.9,0,stub-1,1.0,1.0
1,B,W7,AC,Beast,65,5.0,22.2,32.1,62.3,52.4,64.6,0,stub-1,1.0,1.0
1,B,W0,DC,Beast,65,5.0,18.9,19.0,62.8,54.5,67.2,0,stub-1,1.0,1.0
